DATE,Station-Point,Latitude,Longitude,0,10,20,30,50,75,100,125,150,200,250,300,400,500,SSH
2006-06-19,104-07,37.0567,130.0,16.44,14.19,8.21,6.27,4.13,2.93,2.0,1.62,1.3,0.92,0.82,0.75,0.65,0.57,0.4398
2006-10-28,104-07,37.0567,130.0,18.83,18.17,16.22,14.61,6.87,4.07,2.78,1.89,1.58,1.09,0.91,0.79,0.63,0.5,0.6846
2006-12-14,104-07,37.0567,130.0,16.05,15.93,15.93,15.93,15.93,15.26,14.26,12.73,10.65,4.53,2.21,1.55,0.87,0.7,0.7694000000000001
2007-04-07,104-07,37.0567,130.0,13.804,13.7023,13.1357,13.01,12.7672,12.370999999999999,11.4301,9.9438,6.8555,1.7399,1.0708,0.9034,0.7014,0.5532,0.6152000000000001
2007-06-13,104-07,37.0567,130.0,18.4621,18.2462,13.0346,8.0606,4.6782,2.6963,1.8459,1.3815,1.2357,0.96,0.8307,0.73,0.5795,0.47100000000000003,0.54
2007-08-16,104-07,37.0567,130.0,25.1049,24.8403,18.3455,16.1608,12.982999999999999,8.9975,5.1674,3.2009,2.4005,1.6066,1.171,0.9845,0.7305,0.5929,0.5900000000000001
2007-10-15,104-07,37.0567,130.0,22.8782,22.926,22.9352,23.1871,16.3343,11.3696,6.9968,4.715,3.3573,1.6843,1.1866,0.9613,0.7238,0.5820000000000001,0.5931000000000001
2007-12-11,104-07,37.0567,130.0,17.1812,17.1818,17.1853,17.1802,17.0014,14.5753,7.1196,3.5380000000000003,2.2919,1.5342,1.0774,0.9394,0.7544,0.6364,0.6686000000000001
2008-02-21,104-07,37.0567,130.0,11.3191,11.2773,11.2625,11.2566,11.2532,11.2207,11.0594,10.8106,9.2827,3.9302,1.9558,1.2376,0.8049,0.6579,0.5822
2008-04-12,104-07,37.0567,130.0,12.9738,12.9765,12.9459,12.8407,12.3021,11.7747,11.4094,9.0752,3.2021,1.2276,0.9777,0.8445,0.6593,0.5474,0.5724
2008-06-13,104-07,37.0567,130.0,19.2774,19.0966,17.3992,15.6591,15.218,15.1747,13.6227,8.4987,3.6703,1.6057,1.1655,0.9552,0.7522,0.6024,0.6267
2008-08-11,104-07,37.0567,130.0,26.2365,18.1862,15.3824,14.7035,12.3066,9.5332,6.702000000000001,4.4956,2.9737,1.3779,1.0775,0.8848,0.6822,0.57,0.6235
